farm_name,timezone,installed_capacity_kw
Solar Park Alpha 	,Europe/Warsaw,800
Pacific Sunfield 	,America/Los_Angeles,1500
Sakura Energy Site 	,Asia/Tokyo,600
Kowhai Solar Plant 	,Pacific/Auckland,1000
Atacama Mirror One 	,America/Sao_Paulo,1200
Vistula Photovoltaics 	,Europe/Warsaw,700
Sahara Array 	,Africa/Cairo,1100
Outback Sun 	,Australia/Sydney,950
Desert Oasis Solar 	,Asia/Dubai,1300
Thames Solar 	,Europe/London,850
Liberty Sun Park 	,America/New_York,1400
Merlion Energy 	,Asia/Singapore,1050
Berlin Solar Node 	,Europe/Berlin,1200
Edo Sun Matrix 	,Asia/Tokyo,800
Maple Leaf Arrays 	,America/Toronto,1500
Roman Sunfields 	,Europe/Rome,600
Victoria Solar Park 	,Australia/Melbourne,2000
Windy City Solar 	,America/Chicago,1100
Pearl River Energy 	,Asia/Shanghai,1400
Iberian Photovoltaics 	,Europe/Madrid,1800
Ganges Solar 	,Asia/Kolkata,850
Aztec Sun 	,America/Mexico_City,1250
Eiffel Energy 	,Europe/Paris,950
Savannah Array 	,Africa/Johannesburg,1100
