farm_name,farm_id
solar park alpha,FARM_A
pacific sunfield,FARM_B
sakura energy site,FARM_C
kowhai solar plant,FARM_D
atacama mirror one,FARM_E
vistula photovoltaics,FARM_F
sahara array,FARM_G
outback sun,FARM_H
desert oasis solar,FARM_I
thames solar,FARM_J
liberty sun park,FARM_K
merlion energy,FARM_L
berlin solar node,FARM_M
edo sun matrix,FARM_N
maple leaf arrays,FARM_O
roman sunfields,FARM_P
victoria solar park,FARM_Q
windy city solar,FARM_R
pearl river energy,FARM_S
iberian photovoltaics,FARM_T
ganges solar,FARM_U
aztec sun,FARM_V
eiffel energy,FARM_W
savannah array,FARM_X
