task_id,description,difficulty,pay_per_completion,category
939,High-level window cleaning,Very Hard,500,HEAVY
961,Machine floor scrubbing,Very Hard,500,HEAVY
561,"Cleaning warehouses, halls, and garages",Very Hard,500,HEAVY
146,Moving furniture during deep cleaning,Very Hard,500,HEAVY
447,Post-renovation cleanup,Very Hard,500,HEAVY
304,"Carpet, rug, and upholstery washing",Hard,300,SPECIALIZED
956,Facade and exterior wall cleaning,Hard,300,SPECIALIZED
964,Ventilation ducts and grille cleaning,Hard,300,SPECIALIZED
959,Disinfection after infectious diseases,Hard,300,SPECIALIZED
123,Cleanup after flooding,Hard,290,DEMANDING
946,Cleanup after large events,Hard,290,DEMANDING
385,Cleaning long-neglected areas,Hard,290,DEMANDING
987,Unpleasant odor removal,Hard,290,DEMANDING
148,Waste container cleaning,Hard,290,DEMANDING
387,Quality control of other employees,Medium,140,RESPONSIBLE
452,Training new employees,Medium,140,RESPONSIBLE
867,Substitution for absent staff,Medium,140,RESPONSIBLE
978,Solo work in large facilities,Medium,140,RESPONSIBLE
253,Night shift cleaning,Medium,160,OUT_OF_STANDARD
590,Weekend and holiday work,Medium,160,OUT_OF_STANDARD
900,Urgent on-call jobs,Medium,160,OUT_OF_STANDARD
